14-Digit PIN #,Street Number,Dir.,Street Name,Type,Sq. Ft.,Ward,Community Area,Zoning Classification,TIF District,Location
13-01-102-036-0000,6307,N,ALBANY,AV,1281,50,WEST RIDGE,RT-4,NOT IN TIF,"6307 N ALBANY AV
CHICAGO, IL
(41.995966, -87.706875)"
13-08-421-051-0000,4935,N,CENTRAL,AVE,2226,45,JEFFERSON PARK,RT-4,NOT IN TIF,"4935 N CENTRAL AVE
CHICAGO, IL
(41.970555, -87.767549)"
13-08-421-052-0000,4935,N,CENTRAL,AVE,3684,45,JEFFERSON PARK,RT-4,NOT IN TIF,"4935 N CENTRAL AVE
CHICAGO, IL
(41.970555, -87.767549)"
13-11-311-021-0000,5056,N,MONTICELLO,AVE,3621,39,ALBANY PARK,RS-2,NOT IN TIF,"5056 N MONTICELLO AVE
CHICAGO, IL
(41.973513, -87.719507)"
13-11-312-001-0000,5051,N,MONTICELLO,AVE,2688,39,ALBANY PARK,RS-2,NOT IN TIF,"5051 N MONTICELLO AVE
CHICAGO, IL
(41.973492, -87.719511)"
13-11-312-042-0000,5051,N,MONTICELLO,AVE,3902,39,ALBANY PARK,RS-2,NOT IN TIF,"5051 N MONTICELLO AVE
CHICAGO, IL
(41.973492, -87.719511)"
13-11-403-002-0000,3401,W,FOSTER,AVE,7485,39,NORTH PARK,B1-2,Lawrence/Kedzie,"3401 W FOSTER AVE
CHICAGO, IL
(41.975693, -87.713595)"
13-11-403-003-0000,3401,W,FOSTER,AVE,3739,39,NORTH PARK,B1-2,Lawrence/Kedzie,"3401 W FOSTER AVE
CHICAGO, IL
(41.975693, -87.713595)"
13-11-403-058-0000,,,,,3735,39,NORTH PARK,B1-2,Lawrence/Kedzie,
13-12-316-033-0000,4815,N,SACRAMENTO,AVE,5669,33,ALBANY PARK,POS-1/RM-5,Lawrence/Kedzie,"4815 N SACRAMENTO AVE
CHICAGO, IL
(41.969116, -87.703654)"
13-14-107-001-0000,4560,N,PULASKI,RD,6117,39,ALBANY PARK,B3-1,Lawrence/Pulaski,"4560 N PULASKI RD
CHICAGO, IL
(41.96441, -87.727903)"
13-14-107-002-0000,4560,N,PULASKI,RD,25007,39,ALBANY PARK,B3-1,Lawrence/Pulaski,"4560 N PULASKI RD
CHICAGO, IL
(41.96441, -87.727903)"
13-14-107-003-0000,4560,N,PULASKI,RD,12506,39,ALBANY PARK,B3-1,Lawrence/Pulaski,"4560 N PULASKI RD
CHICAGO, IL
(41.96441, -87.727903)"
13-14-114-001-0000,4560,N,PULASKI,RD,3847,35,ALBANY PARK,B1-1,Lawrence/Pulaski,"4560 N PULASKI RD
CHICAGO, IL
(41.96441, -87.727903)"
13-14-114-002-0000,4560,N,PULASKI,RD,3618,35,ALBANY PARK,B1-1,Lawrence/Pulaski,"4560 N PULASKI RD
CHICAGO, IL
(41.96441, -87.727903)"
13-14-114-003-0000,4560,N,PULASKI,RD,3588,35,ALBANY PARK,B1-1,Lawrence/Pulaski,"4560 N PULASKI RD
CHICAGO, IL
(41.96441, -87.727903)"
13-14-114-004-0000,4555,N,PULASKI,RD,3739,35,ALBANY PARK,B1-1,Lawrence/Pulaski,"4555 N PULASKI RD
CHICAGO, IL
(41.964129, -87.727895)"
13-14-114-005-0000,4555,N,PULASKI,RD,3739,35,ALBANY PARK,B1-1,Lawrence/Pulaski,"4555 N PULASKI RD
CHICAGO, IL
(41.964129, -87.727895)"
13-16-106-039-0000,5201,W,LAWRENCE,,11207,45,PORTAGE PARK,B3-2,Jefferson Park,"5201 W LAWRENCE
CHICAGO, IL
(41.967867, -87.757709)"
13-16-200-001-0000,5161,W,LAWRENCE,AVE,9508,45,PORTAGE PARK,B3-2,Jefferson Park,"5161 W LAWRENCE AVE
CHICAGO, IL
(41.967862, -87.757303)"
13-16-428-037-0000,,,,,37601,45,PORTAGE PARK,B1-1,Portage Park,
13-16-431-026-0000,4034,N,CICERO,AVE,3534,45,PORTAGE PARK,B3-1,Irving/Cicero,"4034 N CICERO AVE
CHICAGO, IL
(41.95453, -87.747387)"
13-16-431-027-0000,4032,N,CICERO,AVE,128,45,PORTAGE PARK,B3-1,Irving/Cicero,"4032 N CICERO AVE
CHICAGO, IL
(41.954411, -87.747385)"
13-18-409-006-0000,6810,W,IRVING PARK,RD,60474,38,DUNNING,RS-2,Read/Dunning,"6810 W IRVING PARK RD
CHICAGO, IL
(41.95276, -87.79658)"
13-18-409-027-0000,6546,W,IRVING PARK,RD,16349,38,DUNNING,M1-1,NOT IN TIF,"6546 W IRVING PARK RD
CHICAGO, IL
(41.95291, -87.788003)"
13-21-215-040-0000,3804,N,CICERO,AVE,3126,30,PORTAGE PARK,B3-1,Portage Park,"3804 N CICERO AVE
CHICAGO, IL
(41.949902, -87.747247)"
13-21-215-041-0000,3800,N,CICERO,AVE,3123,30,PORTAGE PARK,B3-1,Portage Park,"3800 N CICERO AVE
CHICAGO, IL
(41.949777, -87.747243)"
13-21-231-027-0000,3626,N,CICERO,AVE,7277,30,PORTAGE PARK,B3-1,Belmont/Cicero,"3626 N CICERO AVE
CHICAGO, IL
(41.946874, -87.74714)"
13-22-114-008-0000,3707,N,CICERO,AVE,3127,30,PORTAGE PARK,C1-1.5,Belmont/Cicero,"3707 N CICERO AVE
CHICAGO, IL
(41.94827, -87.747087)"
13-22-114-009-0000,3705,N,CICERO,AVE,3127,30,PORTAGE PARK,C1-1,Belmont/Cicero,"3705 N CICERO AVE
CHICAGO, IL
(41.948184, -87.747084)"
13-22-114-010-0000,3701,N,CICERO,AVE,3605,30,PORTAGE PARK,C1-1,Belmont/Cicero,"3701 N CICERO AVE
CHICAGO, IL
(41.948114, -87.747082)"
13-22-114-011-0000,4750,S,WAVELAND,AVE,1825,30,PORTAGE PARK,C1-1,Belmont/Cicero,"4750 S WAVELAND AVE
CHICAGO, IL
(41.947961, -87.746543)"
13-22-320-047-0000,3200,N,KILPATRICK,AVE,1360,30,PORTAGE PARK,M1-1,NOT IN TIF,"3200 N KILPATRICK AVE
CHICAGO, IL
(41.939108, -87.7439)"
13-22-422-014-0000,3345,N,KEDVALE,,3130,30,IRVING PARK,RS-3,NOT IN TIF,"3345 N KEDVALE
CHICAGO, IL
(41.942273, -87.730794)"
13-23-111-012-0000,1310,S,LAWNDALE,AVE,4721,45,IRVING PARK,RS-2,NOT IN TIF,"1310 S LAWNDALE AVE
CHICAGO, IL
(41.864047, -87.71779)"
13-23-303-010-0000,3546,N,AVALON,AVE,1386,30,AVONDALE,RS-3,NOT IN TIF,"3546 N AVALON AVE
CHICAGO, IL
"
13-23-303-011-0000,3540,N,AVONDALE,AVE,1295,30,AVONDALE,RS-3/M1-1,NOT IN TIF,"3540 N AVONDALE AVE
CHICAGO, IL
(41.945783, -87.718622)"
13-23-407-004-0000,3323,N,DRAKE,AVE,2709,35,AVONDALE,RS-3,NOT IN TIF,"3323 N DRAKE AVE
CHICAGO, IL
(41.941815, -87.716259)"
13-25-314-057-0000,2542,N,MILWAUKEE,AVE,4526,32,LOGAN SQUARE,B3-3,Fullerton/Milwaukee,"2542 N MILWAUKEE AVE
CHICAGO, IL
(41.927121, -87.704194)"
13-25-314-058-0000,2542,N,MILWAUKEE,AVE,9701,32,LOGAN SQUARE,B3-3,Fullerton/Milwaukee,"2542 N MILWAUKEE AVE
CHICAGO, IL
(41.927121, -87.704194)"
13-26-217-010-0000,2979,N,WISNER,AVE,639,35,AVONDALE,B1-1,NOT IN TIF,"2979 N WISNER AVE
CHICAGO, IL
(41.935336, -87.712365)"
13-26-217-059-0000,2860,N,DAWSON,AVE,367,35,AVONDALE,RS-3,NOT IN TIF,"2860 N DAWSON AVE
CHICAGO, IL
(41.934004, -87.712362)"
13-26-217-060-0000,2858,N,DAWSON,AVE,846,35,AVONDALE,RS-3,NOT IN TIF,"2858 N DAWSON AVE
CHICAGO, IL
(41.933652, -87.712721)"
13-26-217-061-0000,2854,N,DAWSON,AVE,1358,35,AVONDALE,RS-3,NOT IN TIF,"2854 N DAWSON AVE
CHICAGO, IL
(41.934004, -87.712362)"
13-26-226-031-0000,2801,N,MILWAUKEE,AVE,6247,35,AVONDALE,B1-3,Fullerton/Milwaukee,"2801 N MILWAUKEE AVE
CHICAGO, IL
(41.931964, -87.71226)"
13-26-324-014-0000,2415,N,HARDING,AVE,5019,31,LOGAN SQUARE,RS-3,NOT IN TIF,"2415 N HARDING AVE
CHICAGO, IL
(41.925095, -87.725575)"
13-32-104-005-0000,6145,W,FULLERTON,AVE,2696,36,BELMONT CRAGIN,B3-1,NOT IN TIF,"6145 W FULLERTON AVE
CHICAGO, IL
(41.923738, -87.779783)"
13-32-229-041-0000,2028,N,CENTRAL,AVE,884,29,BELMONT CRAGIN,PMD 15,NOT IN TIF,"2028 N CENTRAL AVE
CHICAGO, IL
(41.91776, -87.765718)"
13-32-309-022-0000,1738,N,MERRIMAC,AVE,3586,29,AUSTIN,RS-3,NOT IN TIF,"1738 N MERRIMAC AVE
CHICAGO, IL
(41.912146, -87.781384)"
13-33-106-005-0000,2249,N,LOREL,,3162,36,BELMONT CRAGIN,RS-3,NOT IN TIF,"2249 N LOREL
CHICAGO, IL
(41.921304, -87.759747)"
13-33-223-044-0000,2046,N,LEAMINGTON,AVE,1632,36,BELMONT CRAGIN,RS-3,NOT IN TIF,"2046 N LEAMINGTON AVE
CHICAGO, IL
(41.918266, -87.754666)"
13-33-309-009-0000,1832,N,LATROBE,AVE,3765,37,AUSTIN,M1-1,Galewood/Armitage,"1832 N LATROBE AVE
CHICAGO, IL
(41.913982, -87.757055)"
13-33-318-019-0000,1703,N,LATROBE,AVE,3762,37,AUSTIN,RS-3,NOT IN TIF,"1703 N LATROBE AVE
CHICAGO, IL
(41.911593, -87.756944)"
13-33-404-017-0000,5136,W,MOFFAT,ST,185388,37,AUSTIN,PD 1149,NOT IN TIF,"5136 W MOFFAT ST
CHICAGO, IL
(41.91363, -87.754304)"
13-33-404-018-0000,5136,W,MOFFAT,ST,94757,37,AUSTIN,PD 1150,NOT IN TIF,"5136 W MOFFAT ST
CHICAGO, IL
(41.91363, -87.754304)"
13-33-408-001-0000,1815,N,LARAMIE,AVE,6674,37,AUSTIN,PD 1149,NOT IN TIF,"1815 N LARAMIE AVE
CHICAGO, IL
(41.914698, -87.755855)"
13-33-408-002-0000,5143,W,MOFFAT,ST,4407,37,AUSTIN,PD 1149,NOT IN TIF,"5143 W MOFFAT ST
CHICAGO, IL
(41.913627, -87.754452)"
13-33-408-027-0000,1800,N.,LECLAIRE,AVE,15445,37,AUSTIN,M1-1/M2-2,NOT IN TIF,"1800 N LECLAIRE AVE
CHICAGO, IL
(41.913741, -87.752773)"
13-33-408-033-0000,1806,N,LECLAIRE,AVE,3127,37,AUSTIN,RS-3,NOT IN TIF,"1806 N LECLAIRE AVE
CHICAGO, IL
(41.913879, -87.752779)"
13-33-408-036-0000,5143,W,MOFFAT,ST,58110,37,AUSTIN,PD 1149,NOT IN TIF,"5143 W MOFFAT ST
CHICAGO, IL
(41.913627, -87.754452)"
13-33-408-038-0000,5133,,MOFFAT,,10433,37,AUSTIN,PD 1149,NOT IN TIF,"5133 MOFFAT
CHICAGO, IL
(41.913632, -87.754206)"
13-33-408-039-0000,5133,,MOFFAT,,29798,37,AUSTIN,PD 1149,NOT IN TIF,"5133 MOFFAT
CHICAGO, IL
(41.913632, -87.754206)"
13-33-410-009-0000,4827,W,CORTLAND,ST,2740,36,BELMONT CRAGIN,RS-3,NOT IN TIF,"4827 W CORTLAND ST
CHICAGO, IL
(41.915124, -87.747104)"
13-33-418-041-0000,5114,W,CONCORD,PL,3743,37,AUSTIN,RS-3,NOT IN TIF,"5114 W CONCORD PL
CHICAGO, IL
(41.910443, -87.753324)"
13-34-311-003-0000,1642,N,KOSTNER,AVE,6223,36,HUMBOLDT PARK,B1-1,Northwest Industrial Corridor,"1642 N KOSTNER AVE
CHICAGO, IL
(41.910628, -87.736127)"
13-34-406-010-0000,1941,N,KARLOV,AVE,3153,35,HERMOSA,RS-3,NOT IN TIF,"1941 N KARLOV AVE
CHICAGO, IL
(41.916613, -87.728971)"
13-34-407-017-0000,1917,N,KEYSTONE,AVE,3144,35,HERMOSA,RS-3,NOT IN TIF,"1917 N KEYSTONE AVE
CHICAGO, IL
(41.915905, -87.727721)"
13-34-415-020-0000,1850,N,PULASKI,RD,3137,35,HERMOSA,RS-3,NOT IN TIF,"1850 N PULASKI RD
CHICAGO, IL
(41.915158, -87.726493)"
13-34-419-023-0000,1756,N,KEDVALE,AVE,1000,26,HUMBOLDT PARK,RS-3,NOT IN TIF,"1756 N KEDVALE AVE
CHICAGO, IL
(41.913361, -87.730074)"
13-34-430-003-0000,1651,N,KEYSTONE,AVE,2001,26,HUMBOLDT PARK,RS-3,NOT IN TIF,"1651 N KEYSTONE AVE
CHICAGO, IL
(41.911222, -87.727601)"
13-35-122-007-0000,3643,W,SHAKESPEARE,AVE,4714,35,LOGAN SQUARE,RT-4,NOT IN TIF,"3643 W SHAKESPEARE AVE
CHICAGO, IL
(41.920024, -87.718456)"
13-35-212-014-0000,3572,W,PALMER,,3146,35,LOGAN SQUARE,RS-3,NOT IN TIF,"3572 W PALMER
CHICAGO, IL
(41.920971, -87.71617)"
13-35-231-025-0000,3502,W,ARMITAGE,AVE,3139,26,LOGAN SQUARE,B3-1,Fullerton/Milwaukee,"3502 W ARMITAGE AVE
CHICAGO, IL
(41.917347, -87.71379)"
13-35-318-004-0000,1736,N,RIDGEWAY,AVE,873,26,HUMBOLDT PARK,RS-3,NOT IN TIF,"1736 N RIDGEWAY AVE
CHICAGO, IL
(41.912785, -87.720287)"
13-35-320-048-0000,1702,N,MONTICELLO,,3010,26,HUMBOLDT PARK,RS-3,NOT IN TIF,"1702 N MONTICELLO
CHICAGO, IL
(41.911882, -87.717827)"
13-35-409-034-0000,1850,N,SPAULDING,AVE,5129,1,LOGAN SQUARE,RS-3,NOT IN TIF,"1850 N SPAULDING AVE
CHICAGO, IL
(41.915205, -87.710207)"
13-35-409-039-0000,1807,N,KIMBALL,,8038,1,LOGAN SQUARE,M1-1,NOT IN TIF,"1807 N KIMBALL
CHICAGO, IL
(41.91442, -87.71182)"
13-35-409-042-0000,1813,N,KIMBALL,AVE,11153,1,LOGAN SQUARE,M1-1,NOT IN TIF,"1813 N KIMBALL AVE
CHICAGO, IL
(41.914143, -87.711773)"
13-35-410-035-0000,1802,N,SAWYER,AVE,4409,1,LOGAN SQUARE,RT-4,NOT IN TIF,"1802 N SAWYER AVE
CHICAGO, IL
(41.913911, -87.708537)"
13-35-411-042-0000,1810,N,KEDZIE,AVE,3263,1,LOGAN SQUARE,RS-3,NOT IN TIF,"1810 N KEDZIE AVE
CHICAGO, IL
(41.914184, -87.706926)"
13-35-411-043-0000,1808,N,KEDZIE,AVE,3325,1,LOGAN SQUARE,RS-3,NOT IN TIF,"1808 N KEDZIE AVE
CHICAGO, IL
(41.914123, -87.706923)"
13-35-412-015-0000,3559,W,BLOOMINGDALE,AVE,2639,26,HUMBOLDT PARK,RS-3,NOT IN TIF,"3559 W BLOOMINGDALE AVE
CHICAGO, IL
(41.913626, -87.710712)"
13-35-412-016-0000,3559,W,BLOOMINGDALE,AVE,6195,26,HUMBOLDT PARK,RS-3,NOT IN TIF,"3559 W BLOOMINGDALE AVE
CHICAGO, IL
(41.913626, -87.710712)"
13-36-115-017-0000,3041,W,DICKENS,AVE,5140,32,LOGAN SQUARE,RS-3,NOT IN TIF,"3041 W DICKENS AVE
CHICAGO, IL
(41.919248, -87.704569)"
13-36-233-005-0000,2081,N,STAVE,ST,2628,1,LOGAN SQUARE,RS-3,NOT IN TIF,"2081 N STAVE ST
CHICAGO, IL
(41.918978, -87.693584)"
13-36-321-019-0000,1746,N,FRANCISCO,AVE,2892,1,WEST TOWN,RS-3,NOT IN TIF,"1746 N FRANCISCO AVE
CHICAGO, IL
(41.913714, -87.699161)"
13-36-322-036-0000,1733,N,FRANCISCO,AVE,5682,1,WEST TOWN,RS-3,NOT IN TIF,"1733 N FRANCISCO AVE
CHICAGO, IL
(41.913403, -87.699155)"
13-36-326-030-0000,1622,N,WHIPPLE,ST,2962,26,HUMBOLDT PARK,RS-3,NOT IN TIF,"1622 N WHIPPLE ST
CHICAGO, IL
(41.910934, -87.703404)"
13-36-402-010-0000,2635,W,ARMITAGE,AVE,2995,1,LOGAN SQUARE,B3-2,Fullerton/Milwaukee,"2635 W ARMITAGE AVE
CHICAGO, IL
(41.917533, -87.69374)"
13-36-406-051-0000,2606,W,CORTLAND,ST,3130,1,LOGAN SQUARE,RS-3,NOT IN TIF,"2606 W CORTLAND ST
CHICAGO, IL
(41.915717, -87.692575)"
13-36-408-028-0000,2460,W,CORTLAND,ST,5975,1,LOGAN SQUARE,RS-3,Fullerton/Milwaukee,"2460 W CORTLAND ST
CHICAGO, IL
(41.915752, -87.689571)"
13-36-408-030-0000,2448,W,CORTLAND,ST,2986,1,LOGAN SQUARE,RS-3,NOT IN TIF,"2448 W CORTLAND ST
CHICAGO, IL
(41.915752, -87.689203)"
13-36-428-031-0000,2622,W,NORTH,AVE,2975,1,WEST TOWN,B3-2,Humboldt Park,"2622 W NORTH AVE
CHICAGO, IL
(41.910329, -87.693042)"
14-05-128-069-0000,6000,N,BROADWAY,,4677,48,EDGEWATER,B1-2,Hollywood/Sheridan,"6000 N BROADWAY
CHICAGO, IL
(41.990916, -87.660344)"
14-07-318-011-0000,4811,N,LINCOLN,AVE,6217,47,LINCOLN SQUARE,B3-1,Western Avenue North,"4811 N LINCOLN AVE
CHICAGO, IL
(41.970114, -87.689423)"
14-08-410-007-0000,4919,N,WINTHROP,AVE,3750,48,UPTOWN,RT-4,NOT IN TIF,"4919 N WINTHROP AVE
CHICAGO, IL
(41.972237, -87.657686)"
14-08-414-038-0000,1130,W,LAWRENCE,AVE,64879,46,UPTOWN,RT-4,Lawrence/Broadway,"1130 W LAWRENCE AVE
CHICAGO, IL
(41.969018, -87.659308)"
14-08-414-039-0000,1130,W,LAWRENCE,AVE,3287,46,UPTOWN,B3-5/C2-3,Lawrence/Broadway,"1130 W LAWRENCE AVE
CHICAGO, IL
(41.969018, -87.659308)"
14-08-414-040-0000,1130,W,LAWRENCE,AVE,18001,46,UPTOWN,B3-5,Lawrence/Broadway,"1130 W LAWRENCE AVE
CHICAGO, IL
(41.969018, -87.659308)"
14-08-414-042-0000,1130,W,LAWRENCE,AVE,9492,46,UPTOWN,C2-3,Lawrence/Broadway,"1130 W LAWRENCE AVE
CHICAGO, IL
(41.969018, -87.659308)"
14-18-101-010-0000,2315,W,LAWRENCE,,12314,47,LINCOLN SQUARE,B1-1,NOT IN TIF,"2315 W LAWRENCE
CHICAGO, IL
(41.968659, -87.68718)"
14-18-110-019-0000,2301,W,LELAND,,5639,47,LINCOLN SQUARE,B1-1,Western Avenue North,"2301 W LELAND
CHICAGO, IL
(41.966789, -87.687412)"
14-18-110-020-0000,2301,W,LELAND,,3003,47,LINCOLN SQUARE,B1-1,Western Avenue North,"2301 W LELAND
CHICAGO, IL
(41.966789, -87.687412)"
14-18-124-011-0000,4531,N,LINCOLN,AVE,3107,47,LINCOLN SQUARE,B3-2,NOT IN TIF,"4531 N LINCOLN AVE
CHICAGO, IL
(41.964041, -87.685524)"
14-18-124-012-0000,4527,N,LINCOLN,AVE,3104,47,LINCOLN SQUARE,B3-2,NOT IN TIF,"4527 N LINCOLN AVE
CHICAGO, IL
(41.963979, -87.685483)"
14-18-124-013-0000,4525,N,LINCOLN,AVE,3108,47,LINCOLN SQUARE,B3-2,NOT IN TIF,"4525 N LINCOLN AVE
CHICAGO, IL
(41.963916, -87.685442)"
14-18-124-014-0000,4521,N,LINCOLN,AVE,3107,47,LINCOLN SQUARE,B3-2,NOT IN TIF,"4521 N LINCOLN AVE
CHICAGO, IL
(41.963855, -87.685402)"
14-18-124-015-0000,4519,N,LINCOLN,AVE,3112,47,LINCOLN SQUARE,B3-2,NOT IN TIF,"4519 N LINCOLN AVE
CHICAGO, IL
(41.963792, -87.685362)"
14-18-124-016-0000,4517,N,LINCOLN,AVE,3109,47,LINCOLN SQUARE,B3-2,NOT IN TIF,"4517 N LINCOLN AVE
CHICAGO, IL
(41.96373, -87.685321)"
14-18-124-057-0000,4115,N,LINCOLN,AVE,6229,47,LINCOLN SQUARE,B3-2,NOT IN TIF,"4115 N LINCOLN AVE
CHICAGO, IL
(41.963545, -87.6852)"
14-18-124-058-0000,4511,N,LINCOLN,AVE,3115,47,LINCOLN SQUARE,B3-2,NOT IN TIF,"4511 N LINCOLN AVE
CHICAGO, IL
(41.963382, -87.685094)"
14-18-402-050-0000,4229,N,HONORE,ST,1895,47,NORTH CENTER,M1-2,Ravenswood Corridor,"4229 N HONORE ST
CHICAGO, IL
(41.958803, -87.675141)"
14-18-402-054-0000,4229,N,HONORE,ST,2833,47,NORTH CENTER,M1-2,Ravenswood Corridor,"4229 N HONORE ST
CHICAGO, IL
(41.958803, -87.675141)"
14-18-402-057-0000,4229,N,HONORE,ST,29695,47,NORTH CENTER,M1-2,Ravenswood Corridor,"4229 N HONORE ST
CHICAGO, IL
(41.958803, -87.675141)"
14-19-209-018-0000,3840,N,LINCOLN,AVE,5687,47,NORTH CENTER,B1-2,NOT IN TIF,"3840 N LINCOLN AVE
CHICAGO, IL
(41.95155, -87.676904)"
14-19-209-019-0000,3840,N,LINCOLN,AVE,5752,47,NORTH CENTER,B1-2,NOT IN TIF,"3840 N LINCOLN AVE
CHICAGO, IL
(41.95155, -87.676904)"
14-19-404-002-0000,3538,N,LINCOLN,AVE,1769,47,LAKE VIEW,C1-2,NOT IN TIF,"3538 N LINCOLN AVE
CHICAGO, IL
(41.946556, -87.67347)"
14-19-435-003-0000,1635,W,MELROSE,ST,3029,47,LAKE VIEW,B3-1,NOT IN TIF,"1635 W MELROSE ST
CHICAGO, IL
(41.940617, -87.670905)"
14-19-435-004-0000,1635,W,MELROSE,ST,3155,47,LAKE VIEW,B3-1,NOT IN TIF,"1635 W MELROSE ST
CHICAGO, IL
(41.940617, -87.670905)"
14-19-435-009-0000,1635,W,MELROSE,ST,3029,47,LAKE VIEW,B3-1,NOT IN TIF,"1635 W MELROSE ST
CHICAGO, IL
(41.940617, -87.670905)"
14-19-435-038-0000,1635,W,MELROSE,ST,6438,47,LAKE VIEW,B3-1,NOT IN TIF,"1635 W MELROSE ST
CHICAGO, IL
(41.940617, -87.670905)"
14-19-435-039-0000,1635,W,MELROSE,ST,15275,47,LAKE VIEW,B3-1,NOT IN TIF,"1635 W MELROSE ST
CHICAGO, IL
(41.940617, -87.670905)"
14-19-435-040-0000,1635,W,MELROSE,ST,6059,47,LAKE VIEW,B3-3,NOT IN TIF,"1635 W MELROSE ST
CHICAGO, IL
(41.940617, -87.670905)"
14-29-100-014-0000,3120,W,GREENVIEW,AVE,2448,32,LAKE VIEW,B1-3,NOT IN TIF,"3120 W GREENVIEW AVE
CHICAGO, IL
(41.938364, -87.666184)"
14-29-100-037-0000,3120,N,GREENVIEW,AVE,1828,32,LAKE VIEW,B3-3,NOT IN TIF,"3120 N GREENVIEW AVE
CHICAGO, IL
(41.938539, -87.66619)"
14-30-122-002-0000,2025,W,GEORGE,ST,2946,32,NORTH CENTER,RS-3,NOT IN TIF,"2025 W GEORGE ST
CHICAGO, IL
(41.934126, -87.679219)"
14-31-112-001-0000,2249,W,LYNDALE,ST,19007,32,LOGAN SQUARE,POS-2,NOT IN TIF,"2249 W LYNDALE ST
CHICAGO, IL
(41.922646, -87.684862)"
14-31-322-015-0000,1724,N,WILMOT,,2941,32,WEST TOWN,M1-2,NOT IN TIF,"1724 N WILMOT
CHICAGO, IL
(41.913314, -87.680411)"
14-31-322-016-0000,1704,N,HOYNE,AVE,4112,32,WEST TOWN,M1-2,NOT IN TIF,"1704 N HOYNE AVE
CHICAGO, IL
(41.912643, -87.679959)"
14-31-502-001-0000,1759,N,MILWAUKEE,AVE,11451,32,LOGAN SQUARE,T,NOT IN TIF,"1759 N MILWAUKEE AVE
CHICAGO, IL
(41.91343, -87.682154)"
14-31-502-008-0000,2481,N,WOOD,ST,17104,32,LINCOLN PARK,M3-3,NOT IN TIF,"2481 N WOOD ST
CHICAGO, IL
"
14-31-502-009-0000,2481,N,WOOD,ST,15554,32,LINCOLN PARK,M3-3,NOT IN TIF,"2481 N WOOD ST
CHICAGO, IL
"
14-32-116-008-0000,1600,W,ARMITAGE,AVE,16086,32,LOGAN SQUARE,M3-3/PMD 2,North Branch (North),"1600 W ARMITAGE AVE
CHICAGO, IL
(41.917964, -87.668003)"
14-32-404-001-0000,1129,N,KINGSBURY,ST,42588,2,LINCOLN PARK,PMD 1,North Branch (South),"1129 N KINGSBURY ST
CHICAGO, IL
(41.901327, -87.64618)"
14-32-404-002-0000,1129,N,KINGSBURY,ST,10528,2,LINCOLN PARK,PMD 1,North Branch (South),"1129 N KINGSBURY ST
CHICAGO, IL
(41.901327, -87.64618)"
